SA2_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
801041120,0,0,0,0,0,0,0,20,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,3,3,28,17,3,5,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,10,9,8,0,0,0,0,0,3,36,0,0,0,0,0,0,24,22,10,8,5,5,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,7,9,14,4,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,58,34,3,8,6,4,0,0,0,134
801041121,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,12,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,10,0,0,0,0,0,0,7,20,4,3,13,5,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,38,3,5,4,5,0,0,0,92
801041122,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,9,0,0,0,0,0,0,0,20,0,0,0,0,0,0,14,19,9,7,6,6,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,5,16,33,3,4,0,0,0,0,0,57
801051049,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,7,5,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,4,0,0,0,4,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,13
801051050,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,10,5,4,0,3,0,4,0,4,0,0,0,0,0,32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,4,6,13,0,0,4,0,0,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,14,13,10,8,12,5,0,0,4,0,0,6,6,77,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,10
801051051,0,0,0,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,12,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,8,11,3,3,0,0,0,0,0,0,26,0,0,0,0,11,10,22,17,3,5,4,0,0,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,12,16,7,0,4,9,0,0,0,58,0,0,0,0,0,0,0,8,0,0,7,4,0,0,0,24,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,4,9,20,23,15,8,7,0,0,0,4,0,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11
801051053,4,0,0,5,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,22,0,0,0,0,0,5,38,28,3,0,4,0,0,0,0,82,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,4,11,13,6,8,8,11,9,0,0,82,0,0,0,0,0,0,0,7,0,5,8,6,0,0,0,24,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,5,9,4,11,19,15,0,3,0,0,4,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,0,0,0,0,11
801051054,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,0,0,3,9,0,5,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,12,0,0,0,0,3,4,11,8,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,0,3,0,0,0,0,0,22,0,0,0,0,0,0,3,10,8,11,6,0,0,0,0,38,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,3,6,0,9,3,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,6
801051055,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,11,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,9,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,9,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,8,0,12,9,0,0,0,0,33,0,7,0,0,0,3,0,3,0,0,0,0,0,0,0,14,0,0,5,0,15,6,13,4,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,0,10
801051056,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,6,12,10,7,0,0,0,3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
801051057,0,0,0,0,7,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,3,4,0,6,0,0,0,0,0,0,4,0,0,0,16,0,11,13,0,0,0,0,3,0,0,0,0,0,0,0,30,0,0,0,5,5,3,4,5,0,3,0,0,0,0,0,16,0,0,0,0,5,8,9,10,0,0,0,0,5,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,4,8,3,0,0,4,0,0,0,0,38,0,0,0,0,0,0,3,14,11,18,18,8,0,0,0,69,0,3,0,3,3,0,0,0,0,0,0,0,6,0,0,17,0,0,6,9,13,4,16,6,0,0,6,0,5,0,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,26
801051058,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,3,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,11,0,0,0,0,0,5,8,6,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,4,4,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,4,11,8,6,0,0,0,34,0,3,5,5,5,0,3,4,0,0,0,0,0,0,0,25,0,4,9,15,21,10,16,6,0,0,0,4,0,0,5,88,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,5,3,3,5,0,0,0,0,0,0,25
801051060,0,3,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,5,3,0,5,4,3,0,0,0,0,0,0,0,0,24,0,0,0,4,0,3,5,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,15,0,0,0,0,4,0,0,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,4,0,15,3,6,5,4,7,3,0,3,58,0,0,0,0,0,0,0,0,3,6,3,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,7,12,8,12,9,4,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,4,0,3,0,0,0,18
801051061,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,7,0,0,0,0,0,0,0,23,4,7,8,0,4,0,4,9,0,0,0,0,0,0,3,32,0,0,0,0,4,3,5,3,0,0,3,0,0,0,0,16,0,0,0,0,5,0,3,11,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,6,0,0,0,4,0,0,0,39,0,0,0,0,0,0,3,11,8,13,6,7,0,0,4,57,0,7,3,0,0,0,6,4,0,0,0,0,0,0,0,18,0,0,12,10,15,19,20,11,4,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,3,5,0,0,0,0,21
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,8,0,3,11,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,3,9,4,9,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,18,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,3,10,16,8,11,5,0,0,0,0,4,0,0,58,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,4,5,0,0,0,0,0,10
801051125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,3,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,5,0,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,4,6,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,11,8,0,6,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,8,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,5,4,3,0,3,0,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,5,3,3,8,7,0,0,0,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
801061063,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,10,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,3,0,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,3,6,4,9,4,0,3,0,0,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
801061064,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,14,0,6,18,0,0,0,0,3,0,0,0,0,0,0,0,40,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,8,4,3,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,7,8,6,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,10,12,16,15,3,0,0,0,66,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,5,9,13,13,11,4,0,0,4,0,0,5,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,3,0,0,21
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,16,0,0,5,0,3,0,4,5,0,0,0,0,0,0,0,18,0,13,16,3,0,3,4,0,0,0,0,0,0,0,0,41,0,0,0,4,0,5,9,8,0,0,0,0,0,0,0,33,0,0,0,0,5,0,5,10,0,0,4,0,0,0,0,26,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,10,0,0,4,0,10,4,4,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,8,24,16,28,10,5,0,0,3,90,0,8,5,0,4,6,0,3,0,0,0,0,0,0,0,25,0,0,7,9,13,16,18,0,0,5,0,3,0,0,6,84,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,15,0,0,0,4,0,0,3,31
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,5,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,7,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,15,5,3,4,0,0,5,0,0,0,0,0,0,0,0,0,10,0,5,5,0,3,3,8,0,0,0,5,0,0,0,0,28,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,10
801061070,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,10,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,8,8,11,8,9,8,0,0,0,4,0,0,0,0,51,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
801061129,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,4,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,4,8,4,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
